price,review_scores_rating,Rating
372,4.5,4.5
743,5,5
357,5,5
268,3.92,4
243,4.68,4.5
435,4,4
849,5,5
261,4.75,5
849,4.57,4.5
167,4.66,4.5
236,4.95,5
241,4.75,5
257,5,5
"1,044",5,5
208,4.6,4.5
"1,044",4.5,4.5
569,4.6,4.5
689,4.5,4.5
341,4.88,5
312,4.5,4.5
442,4.63,4.5
200,5,5
275,5,5
343,5,5
"1,075",5,5
366,5,5
349,4.96,5
198,5,5
606,4.98,5
436,4.83,5
272,4.59,4.5
262,5,5
599,4.46,4.5
735,4.75,5
414,4,4
670,4,4
436,4.96,5
341,4.64,4.5
179,4.81,5
399,4.67,4.5
507,4.88,5
270,5,5
556,4.88,5
280,4.75,5
280,5,5
535,4.78,5
259,4.67,4.5
349,4.9,5
446,5,5
420,4.83,5
236,4.62,4.5
236,4.56,4.5
189,4.52,4.5
309,4.75,5
"1,050",4,4
"1,942",5,5
"1,102",5,5
450,5,5
864,4.98,5
364,5,5
860,5,5
236,4.89,5
236,5,5
341,4.69,4.5
488,5,5
393,4.43,4.5
341,4.38,4.5
551,4.67,4.5
315,4.83,5
414,4.95,5
630,5,5
367,5,5
546,4.83,5
169,4.74,4.5
446,5,5
551,5,5
467,5,5
879,5,5
498,5,5
262,4.5,4.5
525,4.86,5
682,5,5
235,4.84,5
"1,866",5,5
169,4.63,4.5
255,4.46,4.5
"2,310",5,5
425,4.89,5
367,4.95,5
420,4.84,5
787,5,5
315,5,5
519,5,5
288,5,5
377,4.57,4.5
288,5,5
262,4.32,4.5
401,4.75,5
341,4.57,4.5
286,4.98,5
414,4.8,5
647,4.95,5
210,4.13,4
460,4.9,5
531,4.85,5
488,4.82,5
394,4.48,4.5
423,4.69,4.5
519,5,5
389,4.85,5
294,4.82,5
682,5,5
315,4.75,5
420,4.43,4.5
367,4.94,5
341,4,4
236,4.67,4.5
383,5,5
250,5,5
958,4.82,5
200,4.86,5
"1,942",5,5
326,4.95,5
496,4.85,5
367,4.83,5
341,4.79,5
787,5,5
787,4.75,5
"1,155",4.75,5
364,4.95,5
414,4.63,4.5
420,4.95,5
645,5,5
425,4.89,5
341,4.84,5
492,4.92,5
"1,155",5,5
451,5,5
540,4.67,4.5
682,5,5
414,4.5,4.5
682,4.82,5
420,4.8,5
278,4.96,5
601,5,5
309,4.92,5
236,4.65,4.5
220,4.67,4.5
"1,050",5,5
262,4.76,5
288,4.63,4.5
288,5,5
425,4.92,5
341,5,5
409,5,5
315,5,5
367,5,5
475,4.96,5
446,4.91,5
840,4.78,5
341,4.81,5
393,5,5
393,5,5
420,4.89,5
291,4.99,5
472,4.67,4.5
283,4.88,5
289,4.85,5
364,5,5
535,5,5
315,4.9,5
504,4.84,5
420,4.86,5
393,4.83,5
418,5,5
735,4.5,4.5
165,4.63,4.5
383,4.8,5
161,4.69,4.5
142,4.52,4.5
304,4.83,5
250,5,5
425,4.89,5
315,4.79,5
"1,260",5,5
425,5,5
294,4.65,4.5
262,4.8,5
311,4.8,5
676,4.94,5
535,4.8,5
502,4.96,5
309,4.75,5
420,4.81,5
446,5,5
241,4.4,4.5
289,4.94,5
540,5,5
577,5,5
787,4,4
567,4.5,4.5
492,4.97,5
294,4.45,4.5
968,4.88,5
425,5,5
892,4,4
414,5,5
364,4.5,4.5
472,5,5
252,4.6,4.5
341,4.67,4.5
224,4.82,5
293,4.78,5
420,4.76,5
472,5,5
577,4.5,4.5
463,4.92,5
414,4.86,5
309,5,5
577,5,5
446,4.75,5
789,5,5
236,4.92,5
703,4.9,5
367,5,5
656,5,5
309,5,5
446,4,4
472,4,4
393,5,5
523,5,5
840,3.67,3.5
414,4.38,4.5
420,5,5
"1,359",4.83,5
446,5,5
267,4.83,5
645,5,5
945,4.25,4.5
367,4.83,5
420,5,5
262,5,5
399,5,5
425,4.82,5
618,5,5
315,4.84,5
393,4.78,5
446,5,5
467,4.94,5
675,5,5
364,4.89,5
514,4.92,5
"1,590",5,5
395,5,5
341,4.5,4.5
500,4.86,5
796,4.92,5
769,5,5
"1,267",4.5,4.5
691,4.7,4.5
"5,300",5,5
271,4.76,5
"2,483",5,5
682,5,5
312,4.77,5
"2,915",5,5
406,4.77,5
514,4.41,4.5
"2,633",5,5
394,4.44,4.5
316,4.57,4.5
"1,075",4.95,5
370,4.93,5
355,4.64,4.5
"1,900",5,5
374,4.47,4.5
256,4.62,4.5
"6,890",4.33,4.5
379,5,5
"1,961",5,5
"1,050",4.78,5
246,4.86,5
"1,590",5,5
298,4.73,4.5
"1,164",5,5
478,5,5
350,4.91,5
850,5,5
"2,544",5,5
"1,999",5,5
"1,999",5,5
"3,131",5,5
349,4.75,5
"3,089",5,5
"2,499",5,5
360,4.88,5
349,4.81,5
391,4.89,5
364,4.8,5
460,4.85,5
349,4.99,5
"1,552",5,5
659,5,5
680,4.99,5
"1,209",4.96,5
185,4.8,5
"1,049",5,5
"1,389",4.97,5
393,4.75,5
477,5,5
262,4.87,5
474,4.9,5
323,4.82,5
369,4.74,4.5
"2,104",3.67,3.5
271,4.76,5
"1,060",4.95,5
700,4.81,5
315,4,4
551,4.8,5
395,5,5
"1,042",4.99,5
576,4.87,5
325,4.88,5
475,5,5
255,4.73,4.5
352,4.89,5
556,5,5
"1,272",4.91,5
375,4.81,5
230,4.9,5
954,4.7,4.5
190,5,5
309,4.83,5
169,4.81,5
279,4.78,5
671,4.73,4.5
343,4.9,5
437,4.71,4.5
577,4.75,5
379,4.76,5
262,4.89,5
624,5,5
341,4.73,4.5
352,4.94,5
357,4.92,5
407,4.91,5
"1,209",4.98,5
410,4.9,5
309,4.85,5
315,5,5
911,4.65,4.5
449,4.9,5
341,4.4,4.5
396,4.5,4.5
586,4.71,4.5
236,4.67,4.5
451,4.33,4.5
215,4.34,4.5
"2,571",5,5
393,5,5
282,4.55,4.5
315,4.82,5
456,4.77,5
446,4.61,4.5
367,5,5
404,5,5
180,4.15,4
401,5,5
844,4.76,5
446,4.7,4.5
345,4,4
169,4.26,4.5
519,4.4,4.5
642,4.96,5
237,4.62,4.5
446,4.71,4.5
367,4.8,5
446,5,5
366,4.71,4.5
366,4.5,4.5
489,5,5
252,5,5
451,4.7,4.5
209,4.77,5
295,4.63,4.5
340,4.85,5
135,4.83,5
341,5,5
366,5,5
393,4.77,5
237,4.59,4.5
988,5,5
988,4.67,4.5
586,4.5,4.5
202,4.89,5
"1,325",4.81,5
188,4.4,4.5
341,4.71,4.5
850,4.65,4.5
536,4.5,4.5
346,4.78,5
472,5,5
506,4,4
366,4.77,5
536,4.09,4
586,4.13,4
366,5,5
586,5,5
446,5,5
666,5,5
464,4.9,5
346,4.4,4.5
390,4.57,4.5
291,4.92,5
357,5,5
450,4.73,4.5
356,4.73,4.5
346,4.6,4.5
266,4.78,5
298,5,5
798,4.64,4.5
276,4,4
299,4.81,5
150,4.81,5
173,4.9,5
207,4.81,5
796,4.75,5
246,5,5
360,3.5,3.5
346,5,5
331,4.94,5
299,4.87,5
575,5,5
311,4.93,5
723,4.78,5
305,4.96,5
370,4.88,5
407,5,5
873,4.89,5
187,4.48,4.5
472,5,5
598,4.83,5
217,4.83,5
366,5,5
215,4.97,5
319,5,5
457,4.94,5
366,4.92,5
338,5,5
707,4.91,5
242,4.88,5
810,4.65,4.5
224,4.83,5
947,4.83,5
655,4.72,4.5
259,4.77,5
313,4.83,5
479,5,5
548,4.94,5
345,5,5
"1,662",5,5
638,5,5
"1,195",4.96,5
878,4.89,5
454,4.9,5
556,5,5
695,5,5
245,4.6,4.5
289,4.97,5
341,4.89,5
498,5,5
726,4.84,5
"1,837",5,5
"2,625",5,5
262,4.65,4.5
892,5,5
472,5,5
420,4.58,4.5
603,5,5
393,4.6,4.5
624,4.5,4.5
918,4.67,4.5
367,5,5
341,5,5
292,4.93,5
446,4.79,5
236,4.5,4.5
577,4,4
446,4.7,4.5
662,5,5
257,4.65,4.5
238,4.7,4.5
200,5,5
460,4.79,5
450,4.9,5
380,5,5
611,5,5
214,4.5,4.5
413,4.7,4.5
285,4.5,4.5
238,4.66,4.5
384,4.86,5
333,5,5
261,4.46,4.5
190,4.5,4.5
285,5,5
699,4.8,5
467,4.6,4.5
678,4.85,5
333,5,5
214,4.44,4.5
214,4.75,5
437,5,5
944,5,5
"1,583",5,5
230,4.65,4.5
"1,028",4.83,5
503,4.93,5
470,5,5
356,5,5
166,4.67,4.5
"1,203",4.88,5
176,4.72,4.5
353,5,5
325,4.94,5
188,4.7,4.5
285,4.83,5
492,4.96,5
428,5,5
665,4.82,5
356,4.75,5
256,4.92,5
261,5,5
322,4.9,5
238,4.6,4.5
599,4.83,5
285,4.33,4.5
320,5,5
214,5,5
238,4.5,4.5
528,4.82,5
261,4.8,5
380,4.88,5
356,4.68,4.5
261,4.27,4.5
214,5,5
"1,110",5,5
"1,327",5,5
214,4.69,4.5
333,4.47,4.5
285,4.67,4.5
261,4.67,4.5
626,5,5
611,5,5
"1,389",5,5
"1,722",5,5
"1,763",4.87,5
285,4.56,4.5
577,5,5
338,4.89,5
"1,579",4.75,5
987,4.93,5
235,4.86,5
534,5,5
606,4.96,5
450,4.99,5
642,4.83,5
650,4.81,5
285,4.83,5
935,4.78,5
"2,300",4.92,5
339,4.92,5
674,4.67,4.5
250,5,5
238,4,4
285,4.73,4.5
841,5,5
495,5,5
699,5,5
451,4.67,4.5
339,4.87,5
988,4.83,5
535,4.89,5
219,5,5
590,4.85,5
670,4.56,4.5
380,4.86,5
199,4.9,5
784,4.74,4.5
224,4.65,4.5
469,5,5
200,4.84,5
190,4.69,4.5
230,4.89,5
574,4.96,5
"1,413",4.83,5
354,4.92,5
324,4.86,5
392,4.89,5
188,4.91,5
318,5,5
399,3,3
380,5,5
261,4.86,5
353,4.71,4.5
394,4.83,5
356,4.25,4.5
275,5,5
380,4.75,5
309,4.67,4.5
380,4.83,5
285,3.25,3.5
845,4.72,4.5
698,5,5
285,4.79,5
364,4.99,5
261,4.27,4.5
498,4.96,5
591,5,5
285,4.46,4.5
"1,289",4.85,5
750,5,5
356,4.81,5
241,4.85,5
195,4.72,4.5
238,5,5
261,5,5
285,4.67,4.5
214,4.71,4.5
285,5,5
"1,207",4.88,5
454,4.78,5
270,4.67,4.5
155,4.83,5
350,4.91,5
309,4.67,4.5
196,4.75,5
328,5,5
285,4.7,4.5
315,4.43,4.5
238,5,5
261,4.83,5
261,4.63,4.5
285,4.83,5
238,3.8,4
190,4.44,4.5
499,4.43,4.5
261,5,5
375,4.2,4
214,4.76,5
309,4.67,4.5
360,4.89,5
470,4.82,5
726,4.67,4.5
754,5,5
882,4.82,5
326,4.85,5
393,4.79,5
"1,273",4.69,4.5
250,5,5
356,4.79,5
333,4.8,5
428,4.5,4.5
261,4,4
"1,870",5,5
309,4,4
356,4.67,4.5
285,4.78,5
816,4.88,5
720,4.89,5
238,4.33,4.5
380,5,5
400,4.67,4.5
238,4.5,4.5
190,4.83,5
285,4.36,4.5
190,3.5,3.5
"1,732",4.8,5
"1,355",4.75,5
428,4.95,5
333,4.67,4.5
285,4.6,4.5
402,4.76,5
713,4.67,4.5
356,4,4
212,4.84,5
147,4.72,4.5
859,4.5,4.5
499,4.75,5
408,4.4,4.5
953,4.89,5
"1,051",4.92,5
242,4.87,5
367,4.57,4.5
598,5,5
585,4.97,5
843,4.88,5
390,4.86,5
372,4.9,5
164,4.59,4.5
323,4.88,5
174,4.62,4.5
390,5,5
629,4.96,5
"1,079",4.93,5
346,4.9,5
360,4.09,4
442,4.8,5
350,4.98,5
362,4.57,4.5
311,4.78,5
225,4.61,4.5
451,4.75,5
449,4.78,5
449,4.86,5
619,5,5
464,4.5,4.5
228,4.82,5
690,4.88,5
991,4.9,5
466,4.89,5
498,4.93,5
"1,522",4.5,4.5
"1,365",4.67,4.5
289,4.78,5
503,4.17,4
420,4.96,5
299,4.84,5
787,4.93,5
396,4.6,4.5
996,4.84,5
442,5,5
634,4.44,4.5
379,4.74,4.5
828,5,5
800,5,5
641,4.99,5
279,5,5
383,4.98,5
284,4.86,5
359,4.82,5
432,4.85,5
379,5,5
269,4.86,5
432,4.86,5
420,5,5
240,4.8,5
"1,314",5,5
468,4.78,5
525,4.97,5
329,4.83,5
399,5,5
349,4.78,5
367,4.92,5
550,5,5
399,4.88,5
226,4.96,5
265,4.51,4.5
500,5,5
346,4.69,4.5
471,4.76,5
943,5,5
377,4.79,5
191,4.59,4.5
249,4.91,5
173,4.9,5
259,4.91,5
686,5,5
446,4.96,5
199,4.89,5
451,5,5
399,5,5
380,4.88,5
349,5,5
484,4.93,5
218,4.72,4.5
472,4.9,5
499,4.6,4.5
341,4.96,5
529,5,5
323,4.96,5
300,4.8,5
443,4.67,4.5
341,4.71,4.5
491,4.8,5
"1,396",4.75,5
649,4.9,5
763,4.98,5
318,4.83,5
429,5,5
472,4.68,4.5
522,5,5
587,4.9,5
259,4.86,5
548,5,5
"2,053",4.92,5
322,5,5
261,4.94,5
593,4.78,5
502,4.74,4.5
213,4.33,4.5
248,4.9,5
466,4.78,5
410,5,5
161,4.95,5
559,4.93,5
299,4.75,5
"1,159",4.86,5
396,4.79,5
736,4.94,5
649,5,5
"1,400",5,5
198,5,5
170,4.94,5
516,5,5
"1,111",5,5
"1,111",5,5
696,4.97,5
286,4.98,5
344,4.89,5
650,4.97,5
315,4.86,5
551,4.94,5
221,4.72,4.5
230,4.79,5
224,4.96,5
241,4.9,5
313,4.94,5
311,4.81,5
226,4.89,5
385,4.8,5
335,4.9,5
384,4.5,4.5
733,4.5,4.5
675,4.8,5
575,5,5
412,4.97,5
242,4.61,4.5
307,4.2,4
423,5,5
723,4.91,5
220,4.81,5
288,4.91,5
"1,182",4.67,4.5
496,4.83,5
228,4.92,5
325,4.89,5
655,4.84,5
341,4.85,5
333,4.85,5
367,5,5
264,4.5,4.5
266,4.85,5
257,4.88,5
272,4.83,5
399,4.84,5
256,5,5
277,4.45,4.5
509,4.86,5
240,5,5
478,4.91,5
279,5,5
918,5,5
411,4.91,5
428,5,5
232,4.71,4.5
551,5,5
443,4.76,5
489,5,5
494,4.73,4.5
558,4.74,4.5
376,4.77,5
325,4.84,5
358,4.63,4.5
509,4.92,5
533,4.86,5
509,4.78,5
212,4.97,5
"1,775",5,5
796,5,5
"4,500",5,5
202,4.45,4.5
398,4.82,5
864,4.98,5
397,4.76,5
499,4.98,5
689,5,5
"1,163",5,5
341,4.99,5
264,5,5
500,4.93,5
551,5,5
"1,163",5,5
715,5,5
352,4.43,4.5
262,4.67,4.5
218,4.89,5
300,4.67,4.5
339,4.87,5
338,4.92,5
723,5,5
319,4.79,5
388,4.82,5
254,5,5
194,4.78,5
392,4.89,5
428,4.67,4.5
300,4.91,5
438,5,5
856,5,5
395,4.85,5
296,4.92,5
299,4.69,4.5
405,4.33,4.5
420,4.95,5
311,4.99,5
266,4.54,4.5
285,4.69,4.5
460,5,5
214,4.92,5
581,4.84,5
350,4.87,5
330,4.84,5
208,4.65,4.5
412,4.58,4.5
410,4.86,5
426,4.94,5
643,4.88,5
331,4.59,4.5
205,4.99,5
736,4.98,5
475,4.99,5
551,5,5
331,4.67,4.5
310,4.78,5
796,4.96,5
640,5,5
350,4.94,5
347,4.83,5
332,5,5
422,4.5,4.5
377,4.83,5
409,4.65,4.5
260,4.91,5
308,4.98,5
370,4.72,4.5
372,4.83,5
385,4.79,5
509,4.78,5
"2,700",5,5
932,4.95,5
"1,000",5,5
270,4.85,5
236,4.88,5
336,5,5
649,4.87,5
354,4.85,5
286,4.89,5
189,5,5
199,4.93,5
231,5,5
155,4.95,5
189,4.91,5
528,4.91,5
477,4.86,5
474,4.67,4.5
270,4.83,5
451,4.85,5
274,4.82,5
383,4.95,5
270,4.85,5
308,4.76,5
353,4.65,4.5
629,4.94,5
276,4.93,5
